name;price;shipping
Cpu Monitor Dell Optiplex Core I5 8gb 500gb - Novo;3299.0;Free
Cpu Gamer I5, 16gb, Sdd 240gb, Placa De Vídeo Gtx750ti  Wifi;2795.0;Free
Pc Gamer Completo I5 8gb Hd 500 Placa De Video Monitor;3519.0;Free
Fixador Organizador Adesivo De Fios Cabos De Rede Tv Pc 60un;8890.0;Free
Desktop Completo Atx I3 8gb Ddr3 - Hd Ssd 120gb - Monitor 17;1859.0;Free
Computador Intel Core I3 4gb Ddr3 1tb Sata / Wifi;1099.0;Free
Microsoft Office 365 Personal Pc/mac (box) Assinatura Anual;139.0;Free
Computador Office Completo Intel Core I3 4gb Ddr3 Ssd 120gb ;2099.0;Free
Cpu Gamer I5 3.10ghz 8gb Hd500gb Placa De Video 2gb + Jogos;2398.0;Free
Cpu Pc Gamer Intel Core I5 3.6ghz 8gb Ssd240gb ;2199.0;Free
Bobina Térmica 57-58mm Mini Impressora Portátil - 30 Pçs;5820.0;Paid
Cpu Gamer Amd A6 7480 3.8ghz, 8gb, 8 Núcleos! Promoção!!;1999.0;Free
Cpu Gamer I5, 8gb, Sdd 240gb, Placa De Vídeo Gtx750ti  Wifi;2515.0;Free
Disco sólido interno Crucial CT480BX500SSD1 480GB preto;37550.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 240gb, 8gb Memória Ram;152999.0;Free
Hd Ssd Kingston 480gb 6gb/s A400 Pc Notebook Computador;399.0;Free
Computador Pc Completo Intel I3 4gb Ssd 256gb Monitor 19;1990.0;Free
Pc Computador Cpu Core I5 3470 + Ssd 240gb + 8gb Memória Ram;1500.0;Free
Cpu I5 8gb Ssd 240gb Fonte 500w;1775.0;Free
Disco sólido interno Kingston SA400S37/240G 240GB;203.0;Paid
Pc Gamer Computador Completo Amd 16gb Ddr4 Ssd 240gb Wifi Nf;2898.0;Free
Mini Computador Bematech Elgin Rc-8400n Zion 4gb Ssd120gb;1293.0;Free
